Generating SQLite file profile_report.sqlite from profile_report.nsys-rep
Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/nvtx_sum.py]... 
SKIPPED: profile_report.sqlite does not contain NV Tools Extension (NVTX) data.

Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls    Avg (ns)       Med (ns)      Min (ns)      Max (ns)      StdDev (ns)            Name         
 --------  ---------------  ---------  -------------  -------------  -----------  -------------  -------------  ----------------------
     59.6   10,000,636,704         13  769,279,746.5  500,054,741.0  500,017,012  4,000,037,209  970,721,807.7  pthread_cond_timedwait
     39.4    6,607,921,397         75   88,105,618.6  100,112,610.0        1,490    200,663,973   35,262,031.0  poll                  
      0.9      159,192,152      2,139       74,423.6       14,930.0        1,560     10,750,477      362,327.2  ioctl                 
      0.1       17,088,346         25      683,533.8       11,230.0        1,530      9,978,214    2,140,987.5  fread                 
      0.0        1,955,098         25       78,203.9        6,690.0        4,710      1,388,196      275,162.6  mmap64                
      0.0          443,684          9       49,298.2       25,150.0       11,850        233,081       69,745.8  sem_timedwait         
      0.0          173,200         33        5,248.5        3,650.0        1,390         15,250        3,950.3  fopen                 
      0.0          169,660         43        3,945.6        3,660.0        1,960          7,320        1,091.6  open64                
      0.0          167,831          3       55,943.7       48,840.0       41,291         77,700       19,215.9  pthread_create        
      0.0          162,600         19        8,557.9        4,380.0        1,850         66,760       14,460.8  mmap                  
      0.0           97,271          1       97,271.0       97,271.0       97,271         97,271            0.0  pthread_cond_wait     
      0.0           71,180         16        4,448.8        3,840.0        1,970         12,440        2,369.4  munmap                
      0.0           55,691          1       55,691.0       55,691.0       55,691         55,691            0.0  fgets                 
      0.0           49,330          8        6,166.3        4,535.0        1,140         15,030        5,442.4  close                 
      0.0           33,601         20        1,680.0        1,435.0        1,000          3,470          737.4  fclose                
      0.0           21,920          6        3,653.3        3,585.0        1,720          6,190        1,589.0  open                  
      0.0           16,000          7        2,285.7        1,290.0        1,000          6,830        2,094.0  read                  
      0.0           13,560          3        4,520.0        4,770.0        3,210          5,580        1,204.6  pipe2                 
      0.0           12,130          7        1,732.9        1,760.0        1,160          2,500          514.1  write                 
      0.0           11,490          2        5,745.0        5,745.0        2,930          8,560        3,981.0  socket                
      0.0            7,350          1        7,350.0        7,350.0        7,350          7,350            0.0  connect               
      0.0            5,970          3        1,990.0        2,270.0        1,310          2,390          591.9  fcntl                 
      0.0            3,000          1        3,000.0        3,000.0        3,000          3,000            0.0  pthread_cond_broadcast
      0.0            2,130          1        2,130.0        2,130.0        2,130          2,130            0.0  bind                  
      0.0            1,180          1        1,180.0        1,180.0        1,180          1,180            0.0  fwrite                

Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)    Med (ns)   Min (ns)   Max (ns)   StdDev (ns)                    Name                  
 --------  ---------------  ---------  -----------  ---------  --------  ----------  ------------  ---------------------------------------
     68.2    3,757,520,341      1,880  1,998,681.0    1,050.0       430  92,513,837  10,523,628.0  cudaDeviceSynchronize                  
     22.4    1,233,722,752        371  3,325,398.3    7,710.0        60  23,874,206   6,935,865.8  cudaMemcpy                             
      3.2      175,161,729      2,022     86,628.0    2,390.0     1,640  91,879,475   2,263,097.7  cudaLaunchKernel                       
      3.0      167,039,261        455    367,119.3   14,700.0     1,650  67,266,496   4,422,277.3  cudaMemcpyAsync                        
      2.5      134,981,949      1,072    125,916.0    2,150.0        60  91,540,523   2,795,390.8  cudaMalloc                             
      0.4       21,268,484      1,343     15,836.5    1,840.0       140   1,076,575      64,640.6  cudaFree                               
      0.2       11,742,823         18    652,379.1  113,725.5    25,600   5,620,884   1,389,357.1  cuLibraryLoadData                      
      0.0        1,380,597         19     72,663.0   34,330.0     9,170     506,972     116,470.6  cuLibraryUnload                        
      0.0        1,194,527      5,364        222.7      180.0       120       8,580         269.7  cudaEventCreateWithFlags               
      0.0          918,691      5,364        171.3      150.0       110       4,330          93.9  cudaEventDestroy                       
      0.0          584,722        168      3,480.5    3,795.0     1,450       8,480       1,118.6  cudaMemset                             
      0.0          490,871        164      2,993.1    2,320.5     1,150      30,750       2,711.4  cudaMemsetAsync                        
      0.0          347,713        297      1,170.8      900.0       770      35,581       2,187.6  cudaEventRecord                        
      0.0          272,244        388        701.7      700.0       330       3,470         280.7  cudaStreamSynchronize                  
      0.0          260,691        297        877.7      820.0       680       4,190         283.4  cudaEventQuery                         
      0.0          245,381         50      4,907.6    4,670.0     3,680       8,670       1,088.4  cudaMemcpy2DAsync                      
      0.0          222,910      1,760        126.7       90.0        40       4,850         146.7  cuGetProcAddress_v2                    
      0.0          156,700      2,022         77.5       50.0        40         680          66.6  cuKernelGetName                        
      0.0          122,811      1,485         82.7       60.0        40         760          57.4  cuStreamGetCaptureInfo_v2              
      0.0           24,590         62        396.6      350.0       140         930         187.1  cuLibraryGetKernel                     
      0.0            4,510          6        751.7      570.0       430       1,750         497.5  cuInit                                 
      0.0            1,050          5        210.0      130.0        50         650         250.3  cuModuleGetLoadingMode                 
      0.0              750          3        250.0      270.0       180         300          62.4  cudaGetDriverEntryPointByVersion_v12050
      0.0              380          2        190.0      190.0       150         230          56.6  cudaGetDeviceProperties_v12000         

Processing [profile_report.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)                                                   Name                                                
 --------  ---------------  ---------  ------------  ------------  ----------  ----------  ------------  ----------------------------------------------------------------------------------------------------
     22.3    1,184,641,595        108  10,968,903.7  11,314,438.5   7,639,449  17,300,667   3,328,053.5  nt_multiply_kernel(double *, double *, double *, int, int, int, int *)                              
     19.2    1,018,902,992         72  14,151,430.4  13,880,974.0  10,354,401  17,311,803   1,989,011.4  exact_linesearch(const double *, const double *, double, int, double *)                             
     18.9    1,004,148,274         12  83,679,022.8  83,657,886.5  83,046,257  84,289,873     274,408.2  compute_nt_scaling_kernel(double *, double *, double *, double *, double *, double *, double *, dou…
     17.8      943,013,107         24  39,292,212.8  39,174,482.5  35,770,644  42,590,352   3,342,776.3  cone_division_kernel(const double *, const double *, double *, int, int, const int *)               
